band,to_calm,to_panic,panic_minus_calm_to,net_ir_stress1,net_ir_stress2,net_ir_stress5
static,0.47204114709377365,0.5711103796768805,0.09906923258310685,0.3913283260718626,0.3853670452422048,0.36744078995306617
oracle,0.5195562645809065,0.692190448819652,0.17263418423874544,0.4397960430035818,0.4329940778472572,0.41252041204983164
